noise,true_class,score
0.2,1,9880.742620398903
0.2,1,13076.577844623129
0.2,1,12552.424388880472
0.2,1,12352.62440094925
0.2,1,7974.986629096143
0.2,1,13426.067210130726
0.2,1,11906.171740045502
0.2,1,10596.28175774871
0.2,1,8655.12432880139
0.2,1,11247.626055258657
0.2,1,9227.775447667642
0.2,1,12160.007875603664
0.2,1,7892.41152932877
0.2,1,13746.322033956045
0.2,1,15760.52150403565
0.2,1,8059.640536073521
0.2,1,8421.435715465252
0.2,1,8652.37986253173
0.2,1,11380.857591612134
0.2,1,11801.07859661202
0.2,1,9025.92273002905
0.2,1,11217.6842815468
0.2,1,10997.199242795119
0.2,1,9447.821830961619
0.2,1,11946.080973803351
0.2,1,11981.81354891939
0.2,1,8821.186934115918
0.2,1,12565.80778540063
0.2,1,9437.24654229182
0.2,1,12125.72808249786
0.2,1,8770.128021615144
0.2,1,11821.4892890239
0.2,1,12371.251069427753
0.2,1,10412.85425348251
0.2,1,11426.914494578516
0.2,1,11038.804085141846
0.2,1,10983.146130603507
0.2,1,9424.993485536166
0.2,1,10295.670886617561
0.2,1,10854.854763378631
0.2,1,12159.53161654866
0.2,1,9761.391346246613
0.2,1,8197.046485853853
0.2,1,12754.72559539453
0.2,1,10923.029029895013
0.2,1,11401.31688776956
0.2,1,7725.46328207565
0.2,1,12485.696912310583
0.2,1,8005.20815382825
0.2,1,10038.004124837957
0.2,1,11389.49996302237
0.2,1,10351.05470457054
0.2,1,9563.393574424226
0.2,1,13393.372080039853
0.2,1,12932.166045619162
0.2,1,11354.344706609158
0.2,1,9953.79471813876
0.2,1,7662.645418476059
0.2,1,10255.367326456697
0.2,0,10789.96163609785
0.2,0,11565.315205018118
0.2,0,7427.00281302953
0.2,0,6297.638497268244
0.2,0,12381.31452282197
0.2,0,9583.974974067969
0.2,0,9537.023995402194
0.2,0,8571.243199944154
0.2,0,8202.120943187507
0.2,0,7672.430470481985
0.2,0,9449.664335321102
0.2,0,7580.621742830074
0.2,0,7378.397997354668
0.2,0,12488.41055183139
0.2,0,8384.038400020161
0.2,0,9150.527738270166
0.2,0,9354.811197299083
0.2,0,12961.620188130875
0.2,0,8924.99345954178
0.2,0,10364.46063948867
0.2,0,11213.448050673116
0.2,0,11092.09201580295
0.2,0,10320.46837609758
0.2,0,8476.801950343595
0.2,0,9916.043590645564
0.2,0,10394.75909589107
0.2,0,8235.076048922314
0.2,0,9258.206497472132
0.2,0,7756.178368554286
0.2,0,8781.480326249282
0.2,0,7609.172234691431
0.2,0,7217.685558177856
0.2,0,7081.659748246759
0.2,0,13903.889064944611
0.2,0,12388.3128200941
