time,tech_level,jolt_effect,governance_effect,risk
39.0,0.0019686123586912354,0.0,2.3519998360301213,2.0692848398647495e-09
40.0,0.007384665799954104,0.0,2.4239998352811223,2.0918213931916203e-09
41.0,0.001713682811899705,0.0,2.495999834532082,2.0682300650902175e-09
42.0,0.0,0.0,2.5679998337795285,2.0611536181902037e-09
43.0,0.0,0.0,2.6399998330360117,2.0611536181902037e-09
44.0,0.0,0.0,2.7119998322813457,2.0611536181902037e-09
45.0,0.0,0.0,2.7839998315279533,2.0611536181902037e-09
46.0,0.0,0.0,2.855999830773076,2.0611536181902037e-09
47.0,0.010571222262189157,0.0,2.9279998300651195,2.1051953788134138e-09
48.0,0.003436182895684614,0.0,2.999999829304897,2.0753674050059995e-09
49.0,0.0,0.0,3.0719998285552808,2.0611536181902037e-09
50.0,0.00324083969394795,0.0,3.143999827826834,2.074556745547458e-09
51.0,0.0,0.04000000000000001,3.215999827075251,2.0611536181902037e-09
52.0,0.0,0.08000000000000002,3.2879998263336767,2.0611536181902037e-09
53.0,0.006116762888408679,0.12,3.359999825586007,2.086523660182914e-09
54.0,0.01030999522495951,0.16000000000000003,3.431999824836393,2.1040957981777357e-09
55.0,0.009312801191161986,0.2,3.5039998240910593,2.0999035964616965e-09
56.0,0.0,0.1213061319425267,3.575999823359414,2.0611536181902037e-09
57.0,0.0,0.07357588823428847,3.647999822611724,2.0611536181902037e-09
58.0,0.0033126343140356396,0.044626032029685965,3.7199998218633916,2.0748546509611263e-09
59.0,0.009755451271223592,0.027067056647322542,3.7919998211155064,2.101763464597281e-09
60.0,0.0,0.016416999724779762,3.8639998203654238,2.0611536181902037e-09
61.0,0.0,0.00995741367357279,3.9359998196122223,2.0611536181902037e-09
62.0,0.0,0.0060394766844637,4.007999818856108,2.0611536181902037e-09
63.0,0.0,0.003663127777746836,4.07999981812737,2.0611536181902037e-09
64.0,0.008125258223941981,0.0022217993076484614,4.15199981737741,2.094922063103159e-09
65.0,0.01356240028570823,0.0013475893998170934,4.223999816622512,2.1178271533048862e-09
66.0,0.0,0.0008173542876928133,4.295999815874785,2.0611536181902037e-09
67.0,0.010035328978920241,0.0004957504353332717,4.367999815117517,2.1029402674061406e-09
68.0,0.0036163602504763414,0.0003006878385955145,4.439999814360889,2.076115408188093e-09
69.0,0.0,0.00018237639311090325,4.511999813619206,2.0611536181902037e-09
70.0,0.0036139560550841393,0.00011061687402956673,4.583999812887074,2.0761054254379185e-09
71.0,0.015380365664659692,6.709252558050238e-05,4.655999812151975,2.1255414419863178e-09
72.0,0.0,4.0693673802128836e-05,4.727999811393538,2.0611536181902037e-09
73.0,0.01564643655814006,2.4681960817335914e-05,4.799999810640429,2.1266728324084683e-09
74.0,0.0,1.497036597754012e-05,4.871999809892258,2.0611536181902037e-09
