time,tech_level,jolt_effect,governance_effect,risk
44.0,9.010228279530448,0.0,0.0,0.12136751576636255
45.0,9.48053739427458,0.0,0.0,0.2613574283225491
46.0,9.969576067105125,0.0,0.0,0.48479272529375783
47.0,10.496140946989765,0.0,0.0,0.7295384034496393
48.0,11.02661256353729,0.0,0.0,0.8862730944536468
49.0,11.570716317669763,0.0,0.0,0.9585698133789504
50.0,12.185734800397421,0.0,0.0,0.9875249313750086
51.0,13.315537111165396,0.04000000000000001,0.0,0.9986829911010368
52.0,14.534067857798767,0.08000000000000002,0.0,0.9998847320327521
53.0,15.858640045709315,0.12,0.0,0.9999918483340708
54.0,17.27079879607745,0.16000000000000003,0.0,0.9999995162018565
55.0,18.780471062216964,0.2,0.0,0.9999999763745696
56.0,18.43109108682777,0.1213061319425267,0.0,0.9999999524831864
57.0,18.55665362132949,0.07357588823428847,0.0,0.999999963035479
58.0,18.98849799712604,0.044626032029685965,0.0,0.9999999844156091
59.0,19.632851111366044,0.027067056647322542,0.0,0.9999999957045187
60.0,20.410489434949245,0.016416999724779762,0.0,0.9999999990930908
61.0,21.32374205204918,0.00995741367357279,0.0,0.9999999998540101
62.0,22.320951940908706,0.0060394766844637,0.0,0.9999999999801319
63.0,23.409585501091662,0.003663127777746836,0.0,0.999999999997748
64.0,24.5951618139401,0.0022217993076484614,0.0,0.9999999999997897
65.0,25.83865710616886,0.0013475893998170934,0.0,0.9999999999999825
66.0,27.134079451114555,0.0008173542876928133,0.0,0.9999999999999987
67.0,28.526899215358288,0.0004957504353332717,0.0,1.0
68.0,29.976726248126216,0.0003006878385955145,0.0,1.0
69.0,31.49968603913273,0.00018237639311090325,0.0,1.0
70.0,33.12272904252514,0.00011061687402956673,0.0,1.0
71.0,34.83103356666077,6.709252558050238e-05,0.0,1.0
72.0,36.599365499901076,4.0693673802128836e-05,0.0,1.0
73.0,38.491262115790164,2.4681960817335914e-05,0.0,1.0
74.0,40.42171241997557,1.497036597754012e-05,0.0,1.0
75.0,42.529687115933775,9.07998595249697e-06,0.0,1.0
76.0,44.70230114636375,5.507289869949432e-06,0.0,1.0
77.0,46.99023013089089,3.340340158049132e-06,0.0,1.0
78.0,49.403466803582226,2.0260187197261423e-06,0.0,1.0
79.0,51.91555496606993,1.228842470665642e-06,0.0,1.0
80.0,54.59599400793966,7.453306344157342e-07,0.0,1.0
81.0,57.401054118593315,4.5206588139621087e-07,0.0,1.0
82.0,60.35508308262252,2.741918172768169e-07,0.0,1.0
83.0,63.428828145379214,1.663057438207136e-07,0.0,1.0
84.0,66.67825283151525,1.0086953251357761e-07,0.0,1.0
85.0,70.10039906533368,6.118046410036516e-08,0.0,1.0
86.0,73.70895045561203,3.710782725231957e-08,0.0,1.0
87.0,77.48175218016797,2.2507034943851826e-08,0.0,1.0
88.0,81.44557217483312,1.365120675266974e-08,0.0,1.0
89.0,85.63207738551216,8.279875437570334e-09,0.0,1.0
90.0,90.01810252808119,5.021998311487964e-09,0.0,1.0
91.0,94.64209505307932,3.045995948942526e-09,0.0,1.0
92.0,99.47729529479136,1.8474899323941189e-09,0.0,1.0
93.0,104.58170907284192,1.1205592875074536e-09,0.0,1.0
94.0,109.94325144531821,6.796535638990142e-10,0.0,1.0
95.0,115.56964942535373,4.122307244877116e-10,0.0,1.0
96.0,121.51337875188695,2.5003057327734854e-10,0.0,1.0
97.0,127.7430004181227,1.5165120855823815e-10,0.0,1.0
98.0,134.2898308318541,9.198110757304634e-11,0.0,1.0
99.0,141.17261805801917,5.5789361857378497e-11,0.0,1.0
100.0,148.3990054001781,3.383795845230261e-11,0.0,1.0
